year,sport,event,gold_name,gold_noc,tie_gold,silver_name,silver_noc,tie_silver,bronze_name,bronze_noc,tie_bronze
1924,Alpinism,"Alpinism, Open",Mixed team,MIX,False,—,—,False,—,—,False
1924,Bobsleigh,"Four, Men",Switzerland 1,SUI,False,Great Britain 1,GBR,False,Belgium 1,BEL,False
1924,Cross Country Skiing,"18 kilometres, Men",Thorleif Haug,NOR,False,Johan Grøttumsbraaten,NOR,False,Tapani Niku,FIN,False
1924,Cross Country Skiing,"50 kilometres, Men",Thorleif Haug,NOR,False,Thoralf Strømstad,NOR,False,Johan Grøttumsbraaten,NOR,False
1924,Curling,"Team, Men",Great Britain,GBR,False,Sweden,SWE,False,France,FRA,False
1924,Figure Skating,"Singles, Men",Gillis Grafström,SWE,False,Willy Böckl,AUT,False,Georges Gautschi,SUI,False
1924,Figure Skating,"Singles, Women",Herma Planck-Szabo,AUT,False,Beatrix Loughran,USA,False,Ethel Muckelt,GBR,False
1924,Figure Skating,"Pairs, Mixed",Austria,AUT,False,Finland,FIN,False,France 1,FRA,False
1924,Ice Hockey,"Ice Hockey, Men",Canada,CAN,False,United States,USA,False,Great Britain,GBR,False
1924,Military Ski Patrol,"Military Ski Patrol, Men",Switzerland,SUI,False,Finland,FIN,False,France,FRA,False
1924,Nordic Combined,"Individual, Men",Thorleif Haug,NOR,False,Thoralf Strømstad,NOR,False,Johan Grøttumsbraaten,NOR,False
1924,Ski Jumping,"Large Hill, Individual, Men",Jacob Tullin Thams,NOR,False,Narve Bonna,NOR,False,Anders Haugen,USA,False
1924,Speed Skating,"500 metres, Men",Charley Jewtraw,USA,False,Oskar Olsen,NOR,False,Roald LarsenClas Thunberg,NORFIN,True
1924,Speed Skating,"1,500 metres, Men",Clas Thunberg,FIN,False,Roald Larsen,NOR,False,Sigurd Moen,NOR,False
1924,Speed Skating,"5,000 metres, Men",Clas Thunberg,FIN,False,Julius Skutnabb,FIN,False,Roald Larsen,NOR,False
1924,Speed Skating,"10,000 metres, Men",Julius Skutnabb,FIN,False,Clas Thunberg,FIN,False,Roald Larsen,NOR,False
1924,Speed Skating,"Allround, Men",Clas Thunberg,FIN,False,Roald Larsen,NOR,False,Julius Skutnabb,FIN,False
1928,Bobsleigh,"Four, Men",United States 2,USA,False,United States 1,USA,False,Germany 2,GER,False
1928,Cross Country Skiing,"18 kilometres, Men",Johan Grøttumsbraaten,NOR,False,Ole Hegge,NOR,False,Reidar Ødegård,NOR,False
1928,Cross Country Skiing,"50 kilometres, Men",Per Erik Hedlund,SWE,False,Gustaf Jonsson,SWE,False,Volger Andersson,SWE,False
1928,Figure Skating,"Singles, Men",Gillis Grafström,SWE,False,Willy Böckl,AUT,False,Robert Van Zeebroeck,BEL,False
1928,Figure Skating,"Singles, Women",Sonja Henie,NOR,False,Fritzi Burger,AUT,False,Beatrix Loughran,USA,False
1928,Figure Skating,"Pairs, Mixed",France,FRA,False,Austria 1,AUT,False,Austria 2,AUT,False
1928,Ice Hockey,"Ice Hockey, Men",Canada,CAN,False,Sweden,SWE,False,Switzerland,SUI,False
1928,Nordic Combined,"Individual, Men",Johan Grøttumsbraaten,NOR,False,Hans Vinjarengen,NOR,False,John Snersrud,NOR,False
1928,Skeleton,"Skeleton, Men",Jennison Heaton,USA,False,Jack Heaton,USA,False,"David, Earl of Northesk",GBR,False
