year,noc,iso_code,is_host,log_gdp_per_capita,log_population,total_medals,medals_awarded,medal_share
1960,USA,USA,1,8.006322523817438,19.01218825568802,10,81,0.12345679012345678
1960,FIN,FIN,0,7.083266270381181,15.303827520098062,8,81,0.09876543209876543
1960,GER,DEU,0,7.058003498378269,18.10343116255447,8,81,0.09876543209876543
1960,SWE,SWE,0,7.663109082068011,15.828365616195905,7,81,0.08641975308641975
1960,AUT,AUT,0,6.845789248477964,15.768189035832355,6,81,0.07407407407407407
1960,NOR,NOR,0,7.2802047035998525,15.091219387887241,6,81,0.07407407407407407
1960,CAN,CAN,0,7.72530729884267,16.7008338158248,4,81,0.04938271604938271
1960,FRA,FRA,0,7.17533384770307,17.674406251380127,3,81,0.037037037037037035
1960,NED,NLD,0,7.053054883881942,16.256694395341796,2,81,0.024691358024691357
1960,SUI,CHE,0,7.577793144703437,15.488454020705232,2,81,0.024691358024691357
1960,ITA,ITA,0,6.729711579433663,17.73151960854848,1,81,0.012345679012345678
1964,NOR,NOR,0,7.575940097215043,15.122312205969225,15,103,0.14563106796116504
1964,AUT,AUT,1,7.15105994455725,15.792891826634191,12,103,0.11650485436893204
1964,FIN,FIN,0,7.453332896936031,15.330317519865613,10,103,0.0970873786407767
1964,GER,DEU,0,7.400898625295442,18.13723418238043,9,103,0.08737864077669903
1964,FRA,FRA,0,7.544924850447873,17.715491184131217,7,103,0.06796116504854369
1964,SWE,SWE,0,7.993292070116707,15.85169928849823,7,103,0.06796116504854369
1964,USA,USA,0,8.17900752816344,19.07242763781336,7,103,0.06796116504854369
1964,ITA,ITA,0,7.148189436885375,17.76049143661028,4,103,0.038834951456310676
1964,CAN,CAN,0,7.848402368240475,16.77691015243776,3,103,0.02912621359223301
1964,NED,NLD,0,7.419578921250125,16.31095482486498,2,103,0.019417475728155338
1964,GBR,GBR,0,7.466392369643356,17.80449460452855,1,103,0.009708737864077669
1968,NOR,NOR,0,7.893464979853377,15.154840661931477,14,104,0.1346153846153846
1968,AUT,AUT,0,7.429913713194159,15.819069881369275,11,104,0.10576923076923077
1968,FRA,FRA,1,7.83128306248433,17.749549034660095,9,104,0.08653846153846154
1968,NED,NLD,0,7.768262405576018,16.359450053561286,9,104,0.08653846153846154
1968,SWE,SWE,0,8.282251052791812,15.883925656239468,8,104,0.07692307692307693
1968,FRG,DEU,0,7.613365272387405,18.16313095328424,7,104,0.0673076923076923
1968,SUI,CHE,0,8.135491556548974,15.618492485841436,6,104,0.057692307692307696
1968,FIN,FIN,0,7.563872124114242,15.347304500119217,5,104,0.04807692307692308
1968,GDR,DEU,0,7.613365272387405,18.16313095328424,5,104,0.04807692307692308
1968,USA,USA,0,8.45203333658422,19.117351708685927,5,104,0.04807692307692308
1968,ITA,ITA,0,7.449205038837362,17.790240721107228,4,104,0.038461538461538464
1968,CAN,CAN,0,8.152842356060273,16.847767606200637,3,104,0.028846153846153848
1972,GDR,DEU,0,8.249036668931058,18.18100696818652,14,105,0.13333333333333333
1972,NOR,NOR,0,8.392440454349543,15.184914068448771,12,105,0.11428571428571428
1972,SUI,CHE,0,8.68012382713359,15.649843447071385,10,105,0.09523809523809523
1972,NED,NLD,0,8.321297922117061,16.405422135196105,9,105,0.08571428571428572
1972,USA,USA,0,8.715062911602612,19.162122727915616,8,105,0.0761904761904762
1972,AUT,AUT,0,7.976799980119678,15.836289746630843,5,105,0.047619047619047616
1972,FIN,FIN,0,8.063984940607627,15.350150999056249,5,105,0.047619047619047616
1972,FRG,DEU,0,8.249036668931058,18.18100696818652,5,105,0.047619047619047616
1972,ITA,ITA,0,7.892561761071479,17.811531730220587,5,105,0.047619047619047616
1972,SWE,SWE,0,8.702575148698966,15.910123923261333,4,105,0.0380952380952381
1972,FRA,FRA,0,8.245148078099872,17.78509195500837,3,105,0.02857142857142857
1972,JPN,JPN,1,8.0167925731898,18.490094860036685,3,105,0.02857142857142857
1972,CAN,CAN,0,8.538315943139363,16.91643416786608,1,105,0.009523809523809525
1972,ESP,ESP,0,7.442837127760587,17.35949339353699,1,105,0.009523809523809525
1976,GDR,DEU,0,8.803749450241636,18.176529952587277,19,111,0.17117117117117117
1976,FRG,DEU,0,8.803749450241636,18.176529952587277,10,111,0.09009009009009009
1976,USA,USA,0,9.05861632484169,19.20016615832523,10,111,0.09009009009009009
1976,FIN,FIN,0,8.815858445278014,15.36851863813722,7,111,0.06306306306306306
1976,NOR,NOR,0,9.096858257162088,15.20832163906432,7,111,0.06306306306306306
1976,AUT,AUT,1,8.640497868205216,15.839112301342562,6,111,0.05405405405405406
1976,NED,NLD,0,8.9793350562112,16.438296001303588,6,111,0.05405405405405406
1976,SUI,CHE,0,9.293299244836865,15.656457572712792,5,111,0.04504504504504504
1976,ITA,ITA,0,8.304592573707211,17.835818478821885,4,111,0.036036036036036036
1976,CAN,CAN,0,9.08692304296979,16.97037286518978,3,111,0.02702702702702703
1976,LIE,LIE,0,9.33488704640444,10.088222860554016,2,111,0.018018018018018018
1976,SWE,SWE,0,9.292152520417307,15.922358830558895,2,111,0.018018018018018018
1976,FRA,FRA,0,8.823546354681984,17.80878876031907,1,111,0.009009009009009009
1976,GBR,GBR,0,8.32800840548135,17.844640245929146,1,111,0.009009009009009009
1980,GDR,DEU,0,9.40777875985717,18.175912249933393,23,115,0.2
1980,USA,USA,1,9.43944941480793,19.24145127396911,12,115,0.10434782608695652
1980,NOR,NOR,0,9.666006769251991,15.222984049545413,10,115,0.08695652173913043
1980,FIN,FIN,0,9.32589318953376,15.379853819400871,9,115,0.0782608695652174
1980,AUT,AUT,0,9.2897956912478,15.836983019067365,7,115,0.06086956521739131
1980,FRG,DEU,0,9.40777875985717,18.175912249933393,5,115,0.043478260869565216
1980,SUI,CHE,0,9.87271285962152,15.659136090849572,5,115,0.043478260869565216
1980,LIE,LIE,0,9.95031099971192,10.146904208689891,4,115,0.034782608695652174
1980,NED,NLD,0,9.533304643283431,16.46521104767801,4,115,0.034782608695652174
1980,SWE,SWE,0,9.745256163747012,15.933034063707147,4,115,0.034782608695652174
1980,CAN,CAN,0,9.324401176666392,17.014822940529285,2,115,0.017391304347826087
1980,ITA,ITA,0,9.045042343181333,17.848580298494138,2,115,0.017391304347826087
1980,BUL,BGR,0,7.713696608199886,15.997230558139451,1,115,0.008695652173913044
1980,FRA,FRA,0,9.438683497064437,17.827816522047936,1,115,0.008695652173913044
1980,GBR,GBR,0,9.213541451052818,17.846457565676534,1,115,0.008695652173913044
1980,HUN,HUN,0,7.677039927168176,16.18679319884155,1,115,0.008695652173913044
1984,GDR,DEU,0,9.14284181388846,18.170406010715492,24,117,0.20512820512820512
1984,FIN,FIN,0,9.290095517286051,15.40102517680624,13,117,0.1111111111111111
1984,NOR,NOR,0,9.615104285410853,15.236230258559065,9,117,0.07692307692307693
1984,SWE,SWE,0,9.47884193609465,15.93616661711715,8,117,0.06837606837606838
1984,USA,USA,0,9.748074229201588,19.27860056250019,8,117,0.06837606837606838
1984,SUI,CHE,0,9.740453542416024,15.678328652428922,5,117,0.042735042735042736
1984,CAN,CAN,0,9.541834132974316,17.058378379316984,4,117,0.03418803418803419
1984,FRG,DEU,0,9.14284181388846,18.170406010715492,4,117,0.03418803418803419
1984,FRA,FRA,0,9.139047815151738,17.847679760138366,3,117,0.02564102564102564
1984,ITA,ITA,0,8.956422324866786,17.851108115792588,2,117,0.017094017094017096
1984,LIE,LIE,0,9.846830841199203,10.188516107522345,2,117,0.017094017094017096
1984,AUT,AUT,0,9.100062038307124,15.83857141270794,1,117,0.008547008547008548
1984,GBR,GBR,0,9.00934894560925,17.84837098742955,1,117,0.008547008547008548
1984,JPN,JPN,0,9.324334224620094,18.60369372832184,1,117,0.008547008547008548
1988,URS,RUS,0,8.236955282402079,18.80496988216095,29,138,0.21014492753623187
1988,GDR,DEU,0,9.79795915338454,18.174071757694687,25,138,0.18115942028985507
1988,SUI,CHE,0,10.39483766186645,15.70157758332536,15,138,0.10869565217391304
1988,AUT,AUT,0,9.770514053881632,15.84172496290399,10,138,0.07246376811594203
1988,FRG,DEU,0,9.79795915338454,18.174071757694687,8,138,0.057971014492753624
1988,FIN,FIN,0,10.000785308512045,15.414186972638268,7,138,0.050724637681159424
1988,NED,NLD,0,9.785301599086454,16.507437745680008,7,138,0.050724637681159424
1988,SWE,SWE,0,10.106392643887649,15.948076784761446,6,138,0.043478260869565216
1988,USA,USA,0,9.971940835228784,19.31472177689129,6,138,0.043478260869565216
1988,CAN,CAN,1,9.852855740785683,17.10360445029424,5,138,0.036231884057971016
1988,ITA,ITA,0,9.666558764466505,17.852036865169698,5,138,0.036231884057971016
1988,NOR,NOR,0,10.09440875403455,15.252851583060936,5,138,0.036231884057971016
1988,FRA,FRA,0,9.772788946563889,17.869001632114646,2,138,0.014492753623188406
1988,JPN,JPN,0,10.146429071245883,18.62425812001341,1,138,0.007246376811594203
1988,LIE,LIE,0,10.635099009219998,10.23810091967234,1,138,0.007246376811594203
1992,GER,DEU,0,10.187156121194436,18.205314347021268,26,171,0.15204678362573099
1992,EUN,RUS,0,8.038771101155383,18.81635270198715,23,171,0.13450292397660818
1992,AUT,AUT,0,10.11790158731896,15.874839821911182,21,171,0.12280701754385964
1992,NOR,NOR,0,10.326268048824074,15.270958011068462,20,171,0.11695906432748537
1992,ITA,ITA,0,10.056081851797492,17.85499559716498,14,171,0.08187134502923976
1992,USA,USA,0,10.143251842001405,19.362693801982303,11,171,0.06432748538011696
1992,FRA,FRA,1,10.069638096136794,17.890444344106477,9,171,0.05263157894736842
1992,CAN,CAN,0,9.949909702255187,17.16088735989898,7,171,0.04093567251461988
1992,FIN,FIN,0,10.013243455442487,15.433311800056789,7,171,0.04093567251461988
1992,JPN,JPN,0,10.37326585051906,18.639213682708892,7,171,0.04093567251461988
1992,KOR,KOR,0,9.03445761148175,17.59395558682574,4,171,0.023391812865497075
1992,NED,NLD,0,10.08327328635579,16.535763732332676,4,171,0.023391812865497075
1992,SWE,SWE,0,10.396762928724344,15.97515637118858,4,171,0.023391812865497075
1992,CHN,CHN,0,5.907600897830996,20.87596117255955,3,171,0.017543859649122806
1992,SUI,CHE,0,10.61431963312287,15.743455145569891,3,171,0.017543859649122806
