year,event,medal,noc,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1924,"Four, Men",gold,SUI,CHE,,,FRA,0,,
1924,"18 kilometres, Men",gold,NOR,NOR,,,FRA,0,,
1924,"50 kilometres, Men",gold,NOR,NOR,,,FRA,0,,
1924,"Team, Men",gold,GBR,GBR,,,FRA,0,,
1924,"Singles, Men",gold,SWE,SWE,,,FRA,0,,
1924,"Singles, Women",gold,AUT,AUT,,,FRA,0,,
1924,"Pairs, Mixed",gold,AUT,AUT,,,FRA,0,,
1924,"Ice Hockey, Men",gold,CAN,CAN,,,FRA,0,,
1924,"Military Ski Patrol, Men",gold,SUI,CHE,,,FRA,0,,
1924,"Individual, Men",gold,NOR,NOR,,,FRA,0,,
1924,"Large Hill, Individual, Men",gold,NOR,NOR,,,FRA,0,,
1924,"500 metres, Men",gold,USA,USA,,,FRA,0,,
1924,"1,500 metres, Men",gold,FIN,FIN,,,FRA,0,,
1924,"5,000 metres, Men",gold,FIN,FIN,,,FRA,0,,
1924,"10,000 metres, Men",gold,FIN,FIN,,,FRA,0,,
1924,"Allround, Men",gold,FIN,FIN,,,FRA,0,,
1928,"Four, Men",gold,USA,USA,,,SUI,0,,
1928,"18 kilometres, Men",gold,NOR,NOR,,,SUI,0,,
1928,"50 kilometres, Men",gold,SWE,SWE,,,SUI,0,,
1928,"Singles, Men",gold,SWE,SWE,,,SUI,0,,
1928,"Singles, Women",gold,NOR,NOR,,,SUI,0,,
1928,"Pairs, Mixed",gold,FRA,FRA,,,SUI,0,,
1928,"Ice Hockey, Men",gold,CAN,CAN,,,SUI,0,,
1928,"Individual, Men",gold,NOR,NOR,,,SUI,0,,
1928,"Skeleton, Men",gold,USA,USA,,,SUI,0,,
1928,"Large Hill, Individual, Men",gold,NOR,NOR,,,SUI,0,,
1928,"1,500 metres, Men",gold,FIN,FIN,,,SUI,0,,
1928,"5,000 metres, Men",gold,NOR,NOR,,,SUI,0,,
1932,"Two, Men",gold,USA,USA,,,USA,1,,
1932,"Four, Men",gold,USA,USA,,,USA,1,,
1932,"18 kilometres, Men",gold,SWE,SWE,,,USA,0,,
1932,"50 kilometres, Men",gold,FIN,FIN,,,USA,0,,
1932,"Singles, Men",gold,AUT,AUT,,,USA,0,,
1932,"Singles, Women",gold,NOR,NOR,,,USA,0,,
1932,"Pairs, Mixed",gold,FRA,FRA,,,USA,0,,
1932,"Ice Hockey, Men",gold,CAN,CAN,,,USA,0,,
1932,"Individual, Men",gold,NOR,NOR,,,USA,0,,
1932,"Large Hill, Individual, Men",gold,NOR,NOR,,,USA,0,,
1932,"500 metres, Men",gold,USA,USA,,,USA,1,,
1932,"1,500 metres, Men",gold,USA,USA,,,USA,1,,
1932,"5,000 metres, Men",gold,USA,USA,,,USA,1,,
1932,"10,000 metres, Men",gold,USA,USA,,,USA,1,,
1936,"Combined, Men",gold,GER,DEU,,,GER,1,,
1936,"Combined, Women",gold,GER,DEU,,,GER,1,,
1936,"Two, Men",gold,USA,USA,,,GER,0,,
1936,"Four, Men",gold,SUI,CHE,,,GER,0,,
1936,"18 kilometres, Men",gold,SWE,SWE,,,GER,0,,
1936,"50 kilometres, Men",gold,SWE,SWE,,,GER,0,,
1936,"Relay, Men",gold,FIN,FIN,,,GER,0,,
1936,"Singles, Men",gold,AUT,AUT,,,GER,0,,
1936,"Singles, Women",gold,NOR,NOR,,,GER,0,,
1936,"Pairs, Mixed",gold,GER,DEU,,,GER,1,,
1936,"Ice Hockey, Men",gold,GBR,GBR,,,GER,0,,
1936,"Individual, Men",gold,NOR,NOR,,,GER,0,,
1936,"Large Hill, Individual, Men",gold,NOR,NOR,,,GER,0,,
1936,"500 metres, Men",gold,NOR,NOR,,,GER,0,,
1936,"1,500 metres, Men",gold,NOR,NOR,,,GER,0,,
1936,"5,000 metres, Men",gold,NOR,NOR,,,GER,0,,
1936,"10,000 metres, Men",gold,NOR,NOR,,,GER,0,,
1948,"Downhill, Men",gold,FRA,FRA,,,SUI,0,,
1948,"Slalom, Men",gold,SUI,CHE,,,SUI,1,,
1948,"Combined, Men",gold,FRA,FRA,,,SUI,0,,
1948,"Downhill, Women",gold,SUI,CHE,,,SUI,1,,
1948,"Slalom, Women",gold,USA,USA,,,SUI,0,,
1948,"Combined, Women",gold,AUT,AUT,,,SUI,0,,
1948,"Two, Men",gold,SUI,CHE,,,SUI,1,,
1948,"Four, Men",gold,USA,USA,,,SUI,0,,
1948,"18 kilometres, Men",gold,SWE,SWE,,,SUI,0,,
1948,"50 kilometres, Men",gold,SWE,SWE,,,SUI,0,,
1948,"Relay, Men",gold,SWE,SWE,,,SUI,0,,
1948,"Singles, Men",gold,USA,USA,,,SUI,0,,
1948,"Singles, Women",gold,CAN,CAN,,,SUI,0,,
1948,"Pairs, Mixed",gold,BEL,BEL,,,SUI,0,,
1948,"Ice Hockey, Men",gold,CAN,CAN,,,SUI,0,,
1948,"Individual, Men",gold,FIN,FIN,,,SUI,0,,
1948,"Skeleton, Men",gold,ITA,ITA,,,SUI,0,,
1948,"Large Hill, Individual, Men",gold,NOR,NOR,,,SUI,0,,
1948,"500 metres, Men",gold,NOR,NOR,,,SUI,0,,
1948,"1,500 metres, Men",gold,NOR,NOR,,,SUI,0,,
1948,"5,000 metres, Men",gold,NOR,NOR,,,SUI,0,,
1948,"10,000 metres, Men",gold,SWE,SWE,,,SUI,0,,
1952,"Downhill, Men",gold,ITA,ITA,,,NOR,0,,
1952,"Giant Slalom, Men",gold,NOR,NOR,,,NOR,1,,
1952,"Slalom, Men",gold,AUT,AUT,,,NOR,0,,
1952,"Downhill, Women",gold,AUT,AUT,,,NOR,0,,
1952,"Giant Slalom, Women",gold,USA,USA,,,NOR,0,,
1952,"Slalom, Women",gold,USA,USA,,,NOR,0,,
1952,"Two, Men",gold,GER,DEU,,,NOR,0,,
1952,"Four, Men",gold,GER,DEU,,,NOR,0,,
1952,"18 kilometres, Men",gold,NOR,NOR,,,NOR,1,,
1952,"50 kilometres, Men",gold,FIN,FIN,,,NOR,0,,
1952,"Relay, Men",gold,FIN,FIN,,,NOR,0,,
1952,"10 kilometres, Women",gold,FIN,FIN,,,NOR,0,,
1952,"Singles, Men",gold,USA,USA,,,NOR,0,,
1952,"Singles, Women",gold,GBR,GBR,,,NOR,0,,
