year,event,noc,medal,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1924,"Singles, Women",AUT,gold,AUT,,,FRA,0,,
1924,"Pairs, Mixed",AUT,gold,AUT,,,FRA,0,,
1924,"Singles, Men",AUT,silver,AUT,,,FRA,0,,
1924,"Four, Men",BEL,bronze,BEL,,,FRA,0,,
1924,"Ice Hockey, Men",CAN,gold,CAN,,,FRA,0,,
1924,"18 kilometres, Men",FIN,bronze,FIN,,,FRA,0,,
1924,"Allround, Men",FIN,bronze,FIN,,,FRA,0,,
1924,"500 metres, Men",FIN,bronze,FIN,,,FRA,0,,
1924,"1,500 metres, Men",FIN,gold,FIN,,,FRA,0,,
1924,"5,000 metres, Men",FIN,gold,FIN,,,FRA,0,,
1924,"10,000 metres, Men",FIN,gold,FIN,,,FRA,0,,
1924,"Allround, Men",FIN,gold,FIN,,,FRA,0,,
1924,"Pairs, Mixed",FIN,silver,FIN,,,FRA,0,,
1924,"Military Ski Patrol, Men",FIN,silver,FIN,,,FRA,0,,
1924,"5,000 metres, Men",FIN,silver,FIN,,,FRA,0,,
1924,"10,000 metres, Men",FIN,silver,FIN,,,FRA,0,,
1924,"Team, Men",FRA,bronze,FRA,,,FRA,1,,
1924,"Pairs, Mixed",FRA,bronze,FRA,,,FRA,1,,
1924,"Military Ski Patrol, Men",FRA,bronze,FRA,,,FRA,1,,
1924,"Singles, Women",GBR,bronze,GBR,,,FRA,0,,
1924,"Ice Hockey, Men",GBR,bronze,GBR,,,FRA,0,,
1924,"Team, Men",GBR,gold,GBR,,,FRA,0,,
1924,"Four, Men",GBR,silver,GBR,,,FRA,0,,
1924,"50 kilometres, Men",NOR,bronze,NOR,,,FRA,0,,
1924,"Individual, Men",NOR,bronze,NOR,,,FRA,0,,
1924,"1,500 metres, Men",NOR,bronze,NOR,,,FRA,0,,
1924,"5,000 metres, Men",NOR,bronze,NOR,,,FRA,0,,
1924,"10,000 metres, Men",NOR,bronze,NOR,,,FRA,0,,
1924,"500 metres, Men",NOR,bronze,NOR,,,FRA,0,,
1924,"18 kilometres, Men",NOR,gold,NOR,,,FRA,0,,
1924,"50 kilometres, Men",NOR,gold,NOR,,,FRA,0,,
1924,"Individual, Men",NOR,gold,NOR,,,FRA,0,,
1924,"Large Hill, Individual, Men",NOR,gold,NOR,,,FRA,0,,
1924,"18 kilometres, Men",NOR,silver,NOR,,,FRA,0,,
1924,"50 kilometres, Men",NOR,silver,NOR,,,FRA,0,,
1924,"Individual, Men",NOR,silver,NOR,,,FRA,0,,
1924,"Large Hill, Individual, Men",NOR,silver,NOR,,,FRA,0,,
1924,"500 metres, Men",NOR,silver,NOR,,,FRA,0,,
1924,"1,500 metres, Men",NOR,silver,NOR,,,FRA,0,,
1924,"Allround, Men",NOR,silver,NOR,,,FRA,0,,
1924,"Singles, Men",SUI,bronze,CHE,,,FRA,0,,
1924,"Four, Men",SUI,gold,CHE,,,FRA,0,,
1924,"Military Ski Patrol, Men",SUI,gold,CHE,,,FRA,0,,
1924,"Singles, Men",SWE,gold,SWE,,,FRA,0,,
1924,"Team, Men",SWE,silver,SWE,,,FRA,0,,
1924,"Large Hill, Individual, Men",USA,bronze,USA,,,FRA,0,,
1924,"500 metres, Men",USA,gold,USA,,,FRA,0,,
1924,"Singles, Women",USA,silver,USA,,,FRA,0,,
1924,"Ice Hockey, Men",USA,silver,USA,,,FRA,0,,
1928,"Pairs, Mixed",AUT,bronze,AUT,,,SUI,0,,
1928,"Singles, Men",AUT,silver,AUT,,,SUI,0,,
1928,"Singles, Women",AUT,silver,AUT,,,SUI,0,,
1928,"Pairs, Mixed",AUT,silver,AUT,,,SUI,0,,
1928,"Singles, Men",BEL,bronze,BEL,,,SUI,0,,
1928,"Ice Hockey, Men",CAN,gold,CAN,,,SUI,0,,
1928,"500 metres, Men",FIN,bronze,FIN,,,SUI,0,,
1928,"1,500 metres, Men",FIN,gold,FIN,,,SUI,0,,
1928,"500 metres, Men",FIN,gold,FIN,,,SUI,0,,
1928,"5,000 metres, Men",FIN,silver,FIN,,,SUI,0,,
1928,"Pairs, Mixed",FRA,gold,FRA,,,SUI,0,,
1928,"Skeleton, Men",GBR,bronze,GBR,,,SUI,0,,
1928,"Four, Men",GER,bronze,DEU,,,SUI,0,,
1928,"18 kilometres, Men",NOR,bronze,NOR,,,SUI,0,,
1928,"Individual, Men",NOR,bronze,NOR,,,SUI,0,,
1928,"1,500 metres, Men",NOR,bronze,NOR,,,SUI,0,,
1928,"5,000 metres, Men",NOR,bronze,NOR,,,SUI,0,,
1928,"500 metres, Men",NOR,bronze,NOR,,,SUI,0,,
1928,"18 kilometres, Men",NOR,gold,NOR,,,SUI,0,,
1928,"Singles, Women",NOR,gold,NOR,,,SUI,0,,
1928,"Individual, Men",NOR,gold,NOR,,,SUI,0,,
1928,"Large Hill, Individual, Men",NOR,gold,NOR,,,SUI,0,,
1928,"5,000 metres, Men",NOR,gold,NOR,,,SUI,0,,
1928,"500 metres, Men",NOR,gold,NOR,,,SUI,0,,
1928,"18 kilometres, Men",NOR,silver,NOR,,,SUI,0,,
1928,"Individual, Men",NOR,silver,NOR,,,SUI,0,,
1928,"Large Hill, Individual, Men",NOR,silver,NOR,,,SUI,0,,
1928,"1,500 metres, Men",NOR,silver,NOR,,,SUI,0,,
1928,"Ice Hockey, Men",SUI,bronze,CHE,,,SUI,1,,
1928,"50 kilometres, Men",SWE,bronze,SWE,,,SUI,0,,
1928,"50 kilometres, Men",SWE,gold,SWE,,,SUI,0,,
1928,"Singles, Men",SWE,gold,SWE,,,SUI,0,,
1928,"50 kilometres, Men",SWE,silver,SWE,,,SUI,0,,
1928,"Ice Hockey, Men",SWE,silver,SWE,,,SUI,0,,
1928,"Large Hill, Individual, Men",TCH,bronze,CZE,,,SUI,0,,
1928,"Singles, Women",USA,bronze,USA,,,SUI,0,,
1928,"500 metres, Men",USA,bronze,USA,,,SUI,0,,
1928,"Four, Men",USA,gold,USA,,,SUI,0,,
1928,"Skeleton, Men",USA,gold,USA,,,SUI,0,,
1928,"Four, Men",USA,silver,USA,,,SUI,0,,
1928,"Skeleton, Men",USA,silver,USA,,,SUI,0,,
1932,"Singles, Men",AUT,gold,AUT,,,USA,0,,
1932,"Singles, Women",AUT,silver,AUT,,,USA,0,,
1932,"Singles, Men",CAN,bronze,CAN,,,USA,0,,
1932,"500 metres, Men",CAN,bronze,CAN,,,USA,0,,
1932,"1,500 metres, Men",CAN,bronze,CAN,,,USA,0,,
1932,"5,000 metres, Men",CAN,bronze,CAN,,,USA,0,,
1932,"10,000 metres, Men",CAN,bronze,CAN,,,USA,0,,
1932,"Ice Hockey, Men",CAN,gold,CAN,,,USA,0,,
1932,"1,500 metres, Men",CAN,silver,CAN,,,USA,0,,
1932,"18 kilometres, Men",FIN,bronze,FIN,,,USA,0,,
1932,"50 kilometres, Men",FIN,gold,FIN,,,USA,0,,
1932,"50 kilometres, Men",FIN,silver,FIN,,,USA,0,,
1932,"Pairs, Mixed",FRA,gold,FRA,,,USA,0,,
1932,"Four, Men",GER,bronze,DEU,,,USA,0,,
1932,"Ice Hockey, Men",GER,bronze,DEU,,,USA,0,,
1932,"Pairs, Mixed",HUN,bronze,HUN,,,USA,0,,
1932,"50 kilometres, Men",NOR,bronze,NOR,,,USA,0,,
1932,"Individual, Men",NOR,bronze,NOR,,,USA,0,,
1932,"Large Hill, Individual, Men",NOR,bronze,NOR,,,USA,0,,
1932,"Singles, Women",NOR,gold,NOR,,,USA,0,,
1932,"Individual, Men",NOR,gold,NOR,,,USA,0,,
1932,"Large Hill, Individual, Men",NOR,gold,NOR,,,USA,0,,
1932,"Individual, Men",NOR,silver,NOR,,,USA,0,,
1932,"Large Hill, Individual, Men",NOR,silver,NOR,,,USA,0,,
1932,"500 metres, Men",NOR,silver,NOR,,,USA,0,,
1932,"10,000 metres, Men",NOR,silver,NOR,,,USA,0,,
1932,"Two, Men",SUI,silver,CHE,,,USA,0,,
1932,"18 kilometres, Men",SWE,gold,SWE,,,USA,0,,
1932,"18 kilometres, Men",SWE,silver,SWE,,,USA,0,,
1932,"Singles, Men",SWE,silver,SWE,,,USA,0,,
1932,"Two, Men",USA,bronze,USA,,,USA,1,,
1932,"Singles, Women",USA,bronze,USA,,,USA,1,,
1932,"Two, Men",USA,gold,USA,,,USA,1,,
1932,"Four, Men",USA,gold,USA,,,USA,1,,
1932,"500 metres, Men",USA,gold,USA,,,USA,1,,
1932,"1,500 metres, Men",USA,gold,USA,,,USA,1,,
1932,"5,000 metres, Men",USA,gold,USA,,,USA,1,,
